HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,2013 Inequality-adjusted education index value,2013 Inequality in income %,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
162.0,102,0.486,0.313,35.6,-2,34.9,33.5,0.301,24.3,0.382,47,0.267,19,3.9,52.5
163.0,159,0.485,0.326,32.9,3,32.3,29.5,0.471,44.6,0.204,22.7,0.359,7.7,1.9,40.3
164.0,193,0.484,0.335,30.8,5,30.8,33.8,0.399,31.2,0.329,27.3,0.285,8.7,2.3,44.3
165.0,19,0.476,0.311,34.6,0,34.2,37,0.381,42,0.24,23.6,0.329,6.6,1.8,38.6
166.0,175,0.473,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,32.8,0.435,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,6.2,1.4,35.3
166.0,186,0.473,0.317,32.9,4,32.6,36.8,0.355,37.6,0.321,23.5,0.28,7.6,1.8,39.3
168.0,74,0.471,0.285,39.5,-3,38.9,27.9,0.478,40.4,0.223,48.4,0.218,9.792307692307691,2.1817307692307706,59.2
169.0,0,0.468,0.321,31.4,7,30,34.3,0.414,45,0.201,10.8,0.397,4,1,27.8
170.0,48,0.467,0.306,34.6,2,33.7,32.5,0.434,47,0.162,21.7,0.406,9.792307692307691,2.1817307692307706,40
171.0,46,0.452,0.279,38.3,-2,37.9,40.2,0.283,45.4,0.213,28.1,0.361,8.5,2,41.5
172.0,64,0.441,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,34.8,0.389,21.02168674698795,0.5019636363636363,26.9,0.303,11,2.8,47.3
173.0,58,0.435,0.307,29.4,5,28,30.2,0.469,44.3,0.176,9.5,0.351,5.3,1.4,33.6
174.0,110,0.414,0.282,31.9,1,31.6,40,0.326,30.2,0.307,24.6,0.224,8.9,2.3,43.9
175.0,103,0.412,0.273,33.8,-1,32.8,33.1,0.417,46.4,0.197,19,0.247,7,1.7,38.2
176.0,113,0.407,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,45.6,0.293,36.9,0.193,24.300609756097558,0.5066585365853656,5.2,1.3,33
177.0,72,0.396,0.239,39.6,-4,39.4,45.3,0.289,40.3,0.194,32.5,0.244,9.792307692307691,2.1817307692307706,35.5
178.0,126,0.393,0.277,29.5,2,28.9,40.2,0.278,18.2,0.304,28.4,0.25,9.8,2.5,45.7
179.0,71,0.392,0.243,38,-1,37.8,40.3,0.332,42,0.171,31.1,0.253,7.3,1.8,39.4
180.0,28,0.389,0.257,33.9,2,32.6,43.6,0.296,41,0.218,13.2,0.264,4.8,1.3,33.3
181.0,27,0.388,0.252,35,2,34.6,41.1,0.329,38.5,0.154,24.2,0.318,7,1.9,39.8
182.0,56,0.381,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,24.7,0.496,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
183.0,162,0.374,0.208,44.3,-3,43.6,51.2,0.192,48.7,0.156,31,0.302,5.6,1.5,35.4
184.0,34,0.372,0.232,37.8,1,36.8,46.1,0.259,43.4,0.145,21,0.332,7.4,1.8,39.8
185.0,33,0.341,0.203,40.4,-2,39.9,45.7,0.252,45.9,0.172,28.1,0.192,18,4.5,56.3
186.0,40,0.338,0.211,37.6,1,36.8,49.9,0.231,29.4,0.262,31.2,0.155,9.3,2.4,44.4
187.0,134,0.337,0.228,32.4,3,31.8,37.9,0.367,39.5,0.12,17.9,0.269,5.3,1.4,34.6
93.81283422459893,93,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,15.4,0.651,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,115,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,70,2.1817307692307706,40.39057971014495
93.81283422459893,122,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,129,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,156,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,168,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,42.1,0.312,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,171,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,40.8,0.321,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,45.5
93.81283422459893,192,0.6837600000000001,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,10.5,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,6,0.682,0.512,24.9,-0.12413793103448276,24.2,17.4,0.639,38,0.334,17.3,0.629,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,51,0.703,0.564,19.7,-0.12413793103448276,19.5,11.7,0.734,19.7,0.477,27,0.513,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,59,0.738,0.639,13.3,-0.12413793103448276,13.2,14.2,0.676,8.6,0.639,16.9,0.605,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,98,0.74,0.559,24.5,-0.12413793103448276,23.9,13.2,0.733,22.2,0.502,36.3,0.474,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,170,0.588,0.419,28.7,-0.12413793103448276,28,24.4,0.549,41.6,0.274,18,0.489,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,174,0.502,0.334,33.6,-0.12413793103448276,33.5,36.6,0.359,35.7,0.276,28.1,0.375,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,100,0.487,0.336,31,-0.12413793103448276,30.9,32.3,0.433,35.6,0.253,24.7,0.348,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,166,0.665,0.497,25.3,-0.12413793103448276,24.9,18.5,0.626,22.1,0.433,34.2,0.452,9.792307692307691,2.1817307692307706,40.39057971014495
93.81283422459893,204,0.702,0.541,22.9,-0.12413793103448276,22.8,17.3,0.647,27,0.433,24.1,0.564,9.792307692307691,2.1817307692307706,40.39057971014495
