HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,2013 Inequality-adjusted education index value,2013 Inequality in income %,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
37.0,3,0.83,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
37.0,164,0.83,0.778,6.3,9,6.2,5.6,0.805,1.5,0.79,11.5,0.74,3.6,0.9,26
39.0,114,0.829,0.76,8.3,5,8.2,4.8,0.875,5.7,0.691,14.1,0.727,9.792307692307691,2.1817307692307706,40.39057971014495
40.0,195,0.827,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,5.5,0.826,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
41.0,35,0.822,0.661,19.6,-16,18.5,5.9,0.868,13.7,0.644,36,0.516,13.5,3.5,52.1
41.0,147,0.822,0.739,10.1,0,9.8,3.9,0.886,5.7,0.686,19.9,0.664,9.792307692307691,2.1817307692307706,40.39057971014495
43.0,78,0.818,0.757,7.4,7,7.3,5.4,0.795,3.5,0.777,13.1,0.703,4.8,1.2,31.2
44.0,13,0.815,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,6.3,0.816,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
44.0,43,0.815,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,5.1,0.865,11,0.661,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
46.0,95,0.814,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,7.2,0.775,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
47.0,42,0.812,0.721,11.2,-2,11.1,5.2,0.832,10.4,0.69,17.6,0.653,5.2,1.4,33.7
48.0,99,0.81,0.725,10.6,0,10.3,7.6,0.741,3.6,0.784,19.8,0.654,6,1.4,34.8
49.0,7,0.808,0.68,15.8,-4,15.3,9.3,0.786,8.6,0.716,28.1,0.56,11.3,2.4,44.5
93.81283422459893,75,0.735,0.59,19.7,-0.12413793103448276,19.3,10.7,0.749,17.4,0.531,29.9,0.517,9.792307692307691,2.1817307692307706,40.39057971014495
50.0,198,0.79,0.662,16.1,-8,15.7,9.2,0.799,10.9,0.635,27.1,0.573,10.3,2.5,45.3
51.0,12,0.789,0.676,14.3,-3,14,9.4,0.77,8,0.657,24.5,0.612,9.792307692307691,2.1817307692307706,40.39057971014495
51.0,124,0.789,0.733,7.2,5,7.1,7.6,0.779,2.5,0.754,11.3,0.669,4.3,1,28.6
53.0,16,0.786,0.726,7.6,6,7.5,6.8,0.716,4.8,0.781,11.1,0.685,3.8,0.9,26.5
54.0,149,0.785,0.702,10.5,4,10.4,8.8,0.755,5,0.71,17.3,0.645,4.1,1,27.4
55.0,104,0.784,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,10.1,0.765,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
56.0,137,0.783,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,7,0.809,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
