HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012-2013 Change in rank
58.0,26,0.777,73.5,-1,10.6,0,14.3,-1,15402.0,-1,0.7759999999999999,0.0
59.0,15,0.7759999999999999,75.4,-1,9.4,-1,15.4,-1,13604.0,-1,0.7759999999999999,-1.0
60.0,139,0.775,72.4,0,12.2,4,13.7,-1,12823.0,-1,0.773,0.0
61.0,5,0.774,76.0,-1,8.9,4,13.8,-1,18800.0,-1,0.773,-1.0
62.0,111,0.773,75.0,-1,9.5,-1,12.7,-1,21824.0,-1,0.77,0.0
63.0,117,0.7709999999999999,73.6,-1,8.5,-1,15.6,-1,16777.0,-1,0.769,0.0
64.0,188,0.7659999999999999,69.9,-1,10.8,-1,12.3,-1,25325.0,-1,0.765,0.0
65.0,101,0.765,80.0,-1,7.9,3,13.2,-1,16263.0,-1,0.764,0.0
65.0,141,0.765,77.6,-1,9.4,-1,12.4,-1,16379.0,-1,0.7609999999999999,2.0
67.0,201,0.764,74.6,-1,8.6,-1,14.2,-1,17067.0,-1,0.763,-1.0
68.0,41,0.763,79.9,-1,8.4,-1,13.5,-1,13012.0,-1,0.7609999999999999,-1.0
69.0,190,0.759,75.3,-1,7.6,-1,14.4,-1,18391.0,-1,0.7559999999999999,0.0
70.0,90,0.757,66.5,-1,10.4,-1,15.0,-1,19441.0,-1,0.755,0.0
71.0,119,0.7559999999999999,77.5,-1,8.5,-1,12.8,-1,15854.0,-1,0.755,-1.0
71.0,161,0.7559999999999999,73.2,-1,9.4,3,11.6,-1,24632.0,-1,0.755,-1.0
73.0,152,0.75,73.6,0,8.4,4,12.9,-1,20150.0,-1,0.7490000000000001,0.0
73.0,173,0.75,74.3,-1,10.8,-1,13.6,-1,9250.0,-1,0.745,2.0
75.0,82,0.7490000000000001,74.0,-1,7.8,-1,15.2,-1,13451.0,2,0.7490000000000001,-2.0
76.0,11,0.747,70.8,-1,11.2,3,11.8,-1,15725.0,-1,0.745,-1.0
77.0,89,0.745,73.9,-1,9.9,-1,13.3,-1,11337.0,-1,0.7440000000000001,0.0
77.0,160,0.745,74.1,-1,9.5,-1,13.6,-1,11301.0,-1,0.743,1.0
79.0,24,0.7440000000000001,73.9,-1,7.2,-1,15.2,5,14275.0,-1,0.742,1.0
79.0,65,0.7440000000000001,74.3,-1,12.1,5,13.2,-1,6890.0,-1,0.741,2.0
79.0,69,0.7440000000000001,72.8,-1,8.6,4,15.8,-1,10339.0,-1,0.743,-1.0
82.0,144,0.737,74.8,-1,9.0,-1,13.1,-1,11280.0,-1,0.7340000000000001,0.0
83.0,194,0.7340000000000001,68.5,-1,11.3,-1,15.1,-1,8215.0,-1,0.733,0.0
84.0,18,0.732,73.9,-1,9.3,-1,13.7,-1,9364.0,-1,0.731,0.0
84.0,184,0.732,75.2,-1,8.2,5,13.3,-1,11745.0,-1,0.73,1.0
86.0,22,0.731,76.4,-1,8.3,3,13.6,-1,9431.0,-1,0.7290000000000001,0.0
87.0,8,0.73,74.6,-1,10.8,-1,12.3,-1,7952.0,-1,0.728,0.0
88.0,60,0.7240000000000001,69.8,-1,9.9,-1,15.7,-1,7214.0,-1,0.722,0.0
89.0,183,0.722,74.4,-1,7.3,-1,13.1,-1,13364.0,-1,0.72,0.0
90.0,189,0.721,75.9,-1,6.5,-1,14.6,-1,10440.0,-1,0.7190000000000001,0.0
91.0,36,0.7190000000000001,75.3,-1,7.5,-1,12.9,-1,11477.0,-1,0.715,2.0
91.0,154,0.7190000000000001,72.5,-1,8.6,4,13.3,-1,10339.0,-1,0.7170000000000001,0.0
93.0,2,0.7170000000000001,71.0,-1,7.6,-1,14.0,-1,12555.0,-1,0.715,0.0
93.0,49,0.7170000000000001,77.7,0,7.7,4,12.7,3,9235.0,-1,0.716,-1.0
95.0,1,0.716,77.4,-1,9.3,-1,10.8,-1,9225.0,-1,0.7140000000000001,2.0
96.0,87,0.715,73.5,-1,9.6,-1,12.5,-1,8170.0,-1,0.715,-3.0
97.0,153,0.7140000000000001,74.8,-1,8.3,4,12.8,-1,9251.0,-1,0.715,-4.0
98.0,37,0.711,74.0,-1,7.1,-1,13.2,-1,11527.0,-1,0.708,0.0
98.0,52,0.711,76.5,-1,7.6,-1,12.3,3,9998.0,-1,0.708,0.0
100.0,176,0.705,71.0,-1,7.7,-1,12.0,-1,15113.0,-1,0.7020000000000001,1.0
100.0,187,0.705,72.7,-1,9.4,0,14.7,-1,5316.0,-1,0.7040000000000001,0.0
102.0,50,0.7,73.4,-1,7.5,-1,12.3,2,10844.0,-1,0.698,0.0
93.81283422459893,118,0.614,67.9,-1,5.5,-1,11.7,-1,5960.0,-1,0.612,-0.0427807486631016
103.0,112,0.698,77.9,-1,5.8,0,12.7,-1,10074.0,-1,0.695,0.0
103.0,123,0.698,67.5,-1,8.3,-1,15.0,-1,8466.0,-1,0.6920000000000001,3.0
103.0,191,0.698,65.5,-1,9.9,6,12.6,4,11533.0,-1,0.693,1.0
106.0,155,0.6940000000000001,73.2,-1,10.3,-1,12.9,6,4708.0,-1,0.693,-2.0
107.0,140,0.6859999999999999,73.2,-1,8.9,3,13.2,-1,5168.0,3,0.6829999999999999,0.0
108.0,81,0.684,70.8,-1,7.5,-1,12.7,-1,8970.0,-1,0.6809999999999999,0.0
109.0,23,0.6829999999999999,64.4,1,8.8,-1,11.7,-1,14792.0,-1,0.6809999999999999,-1.0
110.0,53,0.682,71.2,-1,6.4,-1,13.0,-1,10400.0,-1,0.6809999999999999,-2.0
111.0,143,0.6759999999999999,72.3,-1,7.7,-1,11.9,-1,7580.0,-1,0.67,0.0
112.0,63,0.674,63.5,-1,7.4,-1,12.3,-1,16977.0,-1,0.67,-1.0
113.0,21,0.667,67.3,-1,9.2,-1,13.2,-1,5552.0,-1,0.6629999999999999,0.0
114.0,121,0.6629999999999999,68.9,-1,9.8,-1,11.8,-1,5041.0,-1,0.657,2.0
115.0,54,0.662,72.6,-1,6.5,-1,12.1,-1,7240.0,-1,0.66,0.0
116.0,199,0.6609999999999999,68.2,-1,10.0,5,11.5,-1,5227.0,-1,0.657,0.0
117.0,145,0.66,68.7,-1,8.9,0,11.3,-1,6381.0,-1,0.6559999999999999,1.0
118.0,169,0.6579999999999999,56.9,-1,9.9,-1,13.1,4,11788.0,-1,0.654,1.0
118.0,180,0.6579999999999999,74.6,-1,6.6,-1,12.0,-1,5771.0,3,0.662,-4.0
120.0,83,0.642,69.4,-1,5.6,-1,10.1,-1,14007.0,-1,0.6409999999999999,0.0
121.0,73,0.638,66.3,-1,8.5,-1,10.7,-1,6341.0,-1,0.635,0.0
121.0,203,0.638,75.9,-1,5.5,-1,11.9,3,4892.0,-1,0.635,0.0
