436,291,47,102,56
90,19,12,8,3
97,8,19,3,2
180,96,27,35,26
450,236,52,73,72
66,18,4,8,0
150,40,10,16,8
106,32,11,13,3
116,30,17,12,2
554,141,56,48,17
183,60,29,21,7
119,29,27,13,2
82,27,6,9,8
200,98,22,36,21
985,467,108,145,133
17,2,3,1,0
43,8,6,4,0
814,132,66,46,11
125,18,14,8,2
152,71,5,27,17
27,9,6,4,1
60,21,7,7,4
60,15,15,5,5
100,10,16,4,0
4,0,0,0,0
3,0,0,0,0
182,56,18,22,1
184,51,56,17,17
57,12,18,4,4
78,26,12,9,8
179,107,34,35,31
172,70,58,19,32
128,11,26,4,3
218,92,55,37,17
88,25,17,4,15
192,58,64,26,6
308,91,97,40,11
331,152,31,44,60
165,72,34,26,19
175,57,41,20,17
311,69,81,26,17
4,0,1,0,0
240,87,25,32,20
219,114,26,41,21
65,16,14,7,2
264,110,16,43,17
159,37,26,11,9
869,542,286,197,147
38,4,6,2,0
6,0,3,0,0
56,18,7,6,4
208,41,81,15,11
491,170,56,65,16
105,36,26,12,12
245,77,96,31,15
28,3,3,1,1
133,85,30,39,6
45,24,4,5,13
772,479,133,145,147
153,87,16,30,20
63,27,9,8,9
86,34,20,15,4
24,4,3,1,2
1079,501,108,198,95
80,22,11,7,6
103,48,15,21,6
543,138,150,52,34
296,106,77,39,28
92,18,17,8,2
101,33,25,9,15
213,127,22,45,20
619,214,125,73,30
23,9,2,3,2
428,201,96,78,41
401,207,71,68,64
374,96,40,36,16
212,60,38,24,12
192,49,23,20,6
238,156,11,59,26
79,26,6,10,3
474,165,61,63,7
65,17,8,5,7
472,209,50,70,49
295,137,75,57,23
171,81,13,29,23
380,185,63,73,22
136,43,45,17,9
140,63,22,20,21
247,64,41,24,13
316,91,38,27,29
78,29,8,11,3
355,169,39,63,23
498,181,41,62,18
71,22,9,8,3
601,205,87,71,31
234,53,23,16,12
214,52,27,19,4
182,69,36,26,6
147,25,13,8,2
154,73,30,27,19
136,29,25,12,5
185,48,34,16,8
312,135,43,43,44
635,264,177,108,30
164,62,28,27,8
28,3,11,1,1
55,6,6,2,0
494,201,147,88,25
301,215,52,78,42
85,7,12,3,0
21,5,4,2,1
184,81,26,28,23
139,56,19,23,10
110,48,10,18,4
430,193,40,62,48
220,150,54,55,40
159,74,14,31,5
528,163,154,66,30
254,91,72,31,29
62,12,6,4,4
101,22,35,6,10
13,0,2,0,0
610,358,72,140,57
114,10,26,5,0
203,77,49,27,17
7,0,0,0,0
551,308,131,103,92
476,208,104,77,54
431,252,102,101,50
26,6,9,3,0
3,0,0,0,0
109,25,19,9,2
76,52,5,18,3
858,396,66,166,55
239,72,29,33,5
43,4,7,1,2
28,9,6,4,1
54,15,1,6,0
65,23,9,6,6
277,160,54,47,59
3,0,0,0,0
67,13,11,6,1
100,39,13,11,10
37,10,7,5,0
1023,336,158,133,48
5,0,1,0,0
122,32,18,13,1
22,7,1,2,3
7,0,3,0,0
564,179,77,62,23
378,107,36,42,19
71,28,10,11,2
113,50,21,16,15
49,20,4,6,5
156,23,37,7,9
9,3,0,0,3
4,0,0,0,0
61,9,7,2,4
47,8,11,4,0
4,0,0,0,0
8,0,0,0,0
75,20,14,8,4
403,209,53,68,57
203,110,26,39,21
601,449,160,153,143
182,55,27,20,8
48,28,14,12,4
501,227,54,81,38
2,0,0,0,0
126,48,36,19,10
153,60,44,23,14
247,78,30,32,12
241,78,17,28,12
33,22,6,7,8
571,384,80,136,111
224,100,44,43,7
979,249,281,101,47
826,343,174,137,40
74,19,10,8,2
1,0,0,0,0
186,95,29,39,12
25,14,4,4,6
280,57,21,19,9
115,29,9,11,2
136,39,18,16,4
40,26,6,6,14
114,68,9,28,2
85,33,20,16,1
